Air_temp,age,sex,thermalsensation,thermalsensationacceptability,thermalpreference,thermalcomfort,clo,met,relativehumidity,airvelocity,BMI,outdoormonthlyairtemperature
33.8,45,Male,1,1,no change,5,0.74,1.4,58.4,0.61,23.45041901,29.5
33.1,55,Male,0,1,no change,6,0.74,1.1,56.7,0.36,26.04738937,29.5
33,45,Male,3,0,no change,6,0.74,1.1,57.1,0.46,35.15625,29.5
32.9,45,Male,1,0,no change,6,0.74,1.1,56,0.31,24.16456205,29.5
33,55,Male,2,0,no change,3,0.59,1.1,56.7,0.46,19.07696123,29.5
33,45,Male,3,0,no change,3,0.74,1.1,55.5,0.53,23.47414599,29.5
33,25,Female,3,0,no change,6,0.42,1.1,54.8,0.79,17.97636731,29.5
33,45,Male,1,0,no change,3,0.74,1.4,55.7,0.37,26.47210744,29.5
33,35,Male,0,1,no change,6,0.7,1.1,55.6,0.39,22.1718317,29.5
33.4,55,Male,0,1,no change,4,0.74,1.1,54.9,0.42,21.36009706,29.5
33.2,35,Male,1,0,cooler,5,0.74,1.1,54.8,0.49,22.74560762,29.5
33.4,45,Male,1,1,no change,5,0.74,1.1,54.8,0.51,22.23098713,29.5
33.4,35,Female,2,0,no change,4,0.42,1.1,54.3,0.64,27.734375,29.5
33.2,55,Female,2,0,cooler,4,0.78,1.1,54.5,0.38,27.81557067,29.5
33.2,45,Male,2,0,no change,5,0.74,1.1,55.3,0.35,27.98559978,29.5
33.3,45,Male,-1,1,no change,6,0.74,1.1,55.6,0.73,22.22222222,29.5
33.2,55,Female,2,0,no change,6,0.78,1,54.8,0.24,25.68052473,29.5
33.3,55,Male,2,0,no change,4,0.68,1.1,54.5,1.25,27.66018583,29.5
33.4,45,Male,2,0,no change,5,0.59,1.3,54.8,0.22,22.97808012,29.5
33.5,45,Male,2,0,no change,5,0.68,1.3,54.2,0.26,26.70012133,29.5
33.6,45,Male,2,0,no change,4,0.7,1.1,52.9,0.72,23.4375,29.5
33.7,25,Male,3,0,no change,4,0.74,1.1,53,0.67,23.45041901,29.5
33.3,35,Male,2,0,no change,4,0.67,1.4,51.3,0.42,23.45041901,29.5
31,45,Male,0,1,warmer,5,0.74,1.1,34.2,0.26,34.85214071,29.5
31.2,45,Male,1,1,no change,5,0.74,1.2,56.6,0.38,21.36558327,29.5
32.4,35,Male,2,0,no change,4,0.68,1.1,56.1,0.5,22.85714286,29.5
33.3,45,Male,2,0,no change,5,0.52,1.1,50.3,0.68,20.15621063,29.5
33.7,45,Male,1,1,no change,6,0.68,1.1,47.2,0.56,26.34649403,29.5
33.7,45,Male,1,1,no change,5,0.74,1.1,48.2,0.29,26.5625,29.5
34,25,Male,0,1,no change,6,0.74,1.3,47.9,0.29,19.67685767,29.5
34.2,45,Male,0,1,cooler,5,0.74,1.1,39.6,1.73,26.09804696,29.5
33.4,45,Male,0,1,no change,6,0.7,1.6,43.4,0.47,26.171875,29.5
33.5,35,Male,1,0,no change,5,0.74,1.1,40.9,0.27,25.42911634,29.5
33.6,55,Female,0,1,no change,6,0.57,1.1,40.8,0.56,30.56950558,29.5
33.8,45,Female,2,0,cooler,5,0.57,1.1,39.1,0.24,24.21875,29.5
33.9,55,Female,2,0,no change,6,0.48,1,37.9,0.36,23.2500465,29.5
33.9,45,Female,2,0,cooler,6,0.57,1.6,39.5,0.18,24.20811,29.5
33.5,35,Male,2,0,cooler,4,0.68,1.5,40.6,0.38,27.51484793,29.5
33.3,55,Male,3,0,no change,4,0.74,1.6,41.3,0.37,23.84620154,29.5
33.3,45,Male,1,0,no change,4,0.64,1.1,42,1.06,25.30693205,29.5
33.3,55,Male,2,0,no change,5,0.74,1.1,42.9,0.34,22.01187834,29.5
33.2,55,Male,2,0,warmer,3,0.67,1.3,43.5,0.45,35.95273463,29.5
33.6,25,Male,2,0,no change,6,0.69,1.7,39.5,0.35,23.47001488,29.5
33.5,55,Male,0,1,no change,6,0.7,1.1,39.2,0.18,23.828125,29.5
33.4,35,Male,2,0,no change,3,0.74,1.5,39.2,0.39,21.40289781,29.5
33.4,35,Male,1,0,cooler,4,0.73,1.5,40,0.21,18.86808574,29.5
32.9,35,Male,0,1,cooler,4,0.74,1.1,41.3,0.37,23.31670573,29.5
32.9,45,Male,0,1,no change,6,0.74,1.1,42,0.28,23.85210838,29.5
33.2,35,Male,0,1,no change,6,0.68,1.1,40.5,0.33,24.6097337,29.5
33.3,55,Male,0,1,cooler,6,0.74,1.1,40.6,0.53,20.36727373,29.5
32.7,45,Male,2,0,no change,3,0.55,1.2,57.5,0.44,24.48979592,29.5
32.9,55,Male,1,0,no change,6,0.49,1.1,56.5,0.6,22.01187834,29.5
32.9,45,Male,2,1,no change,3,0.7,1.6,56.5,0.39,29.05475207,29.5
33,45,Male,2,0,no change,3,0.49,1.3,56.5,0.51,21.00409544,29.5
32.9,55,Male,0,1,no change,1,0.46,1.4,56.7,0.45,23.47001488,29.5
32.9,45,Male,2,1,cooler,3,0.49,1.4,56.2,0.52,22.03856749,29.5
32.9,45,Male,2,0,no change,1,0.7,1.1,56.1,0.74,24.6092588,29.5
33.1,45,Male,2,0,cooler,4,0.65,1.2,52.7,0.49,24.5851167,29.5
32.9,45,Male,2,0,cooler,1,0.55,1.1,55.6,0.62,29.02494331,29.5
33.3,45,Male,2,0,cooler,1,0.55,1.1,54.5,0.34,25.68052473,29.5
32.9,45,Female,3,0,cooler,4,0.42,1.1,55.7,0.3,26.5625,29.5
